teacher,epoch,likelihood,decodingST,decodingTS
1,2,-37405.30078125,0.17805857786992416,0.1467674393761089
2,2,-11036.79296875,0.13482388852548358,0.2040716630355012
0,0,-36238.78515625,0.02183578937294208,0.1259142298064001
1,0,-30075.916015625,0.025098672261767447,0.1582889445596932
2,0,-8384.451171875,0.007675843549567457,0.2415327370677395
0,1,-28682.50390625,0.18551074632241724,0.1233019004315507
1,1,-22786.62890625,0.19247571996377327,0.15200048865704013
2,1,-7051.24462890625,0.155998915380615,0.1901805301063671
0,2,-46238.5234375,0.1709601858206247,0.11316460928214084
1,2,-35737.6484375,0.17607212236123523,0.1446247751779148
2,2,-10502.44140625,0.1293667807445387,0.197228991063348
0,0,-35990.51171875,0.022940767094651624,0.12548301235800333
1,0,-29876.884765625,0.02569239042325686,0.15702677163966544
2,0,-8335.056640625,0.007033078707185774,0.24108389573445557
0,1,-28240.798828125,0.1887086707264363,0.12278205210409687
1,1,-22440.6640625,0.1939828913785368,0.15177418034743478
2,1,-6908.4013671875,0.15996134935134712,0.1925684849415668
0,2,-44434.953125,0.16779304828309197,0.11436557624688476
1,2,-34361.04296875,0.1720984050505319,0.1437026216391115
2,2,-10042.509765625,0.12386252687585135,0.18887857780820203
0,0,-35739.1875,0.023086567270882895,0.1263276093504463
1,0,-29683.646484375,0.02631744381380604,0.15616948424899363
2,0,-8279.0283203125,0.007085396758415204,0.24380829531993262
0,1,-27838.21875,0.19255629635281704,0.1231035674025908
1,1,-22188.193359375,0.1977215441926191,0.15433131661905652
2,1,-6812.72216796875,0.16376171634849293,0.19375201356225302
0,2,-43169.25390625,0.16800734889418267,0.11340981851091209
1,2,-33440.19921875,0.17162562196343517,0.14100096363438935
2,2,-9816.4375,0.12334178467826426,0.18851391749150148
0,0,-35505.76953125,0.02427812302950118,0.12747505885766403
1,0,-29491.169921875,0.026957869771464013,0.15637338767781667
2,0,-8229.55078125,0.0073597771575729465,0.24086971972392648
0,1,-27374.044921875,0.19391793129718674,0.1229000933340204
1,1,-21794.173828125,0.19989679588343287,0.152519451671924
2,1,-6717.1806640625,0.16686512623635757,0.19255365961208457
0,2,-42346.85546875,0.16781275005856833,0.11139780612255612
1,2,-32827.390625,0.16887772743634027,0.1431978184277179
2,2,-9710.3818359375,0.1242076592386967,0.1879413031163324
0,0,-35269.171875,0.02447213482669621,0.12521220660321197
1,0,-29298.787109375,0.026461359806053835,0.15391996589391013
2,0,-8183.1083984375,0.008223425545414888,0.24049230625029905
0,1,-26944.31640625,0.1983838480516265,0.12352495595909196
1,1,-21438.611328125,0.20304909803604657,0.15138062698582033
2,1,-6642.94873046875,0.16790492715812608,0.18627967929511902
0,2,-41716.37890625,0.16850760634928275,0.11361766971352368
1,2,-32292.328125,0.17023505573984218,0.14235769589322492
2,2,-9629.259765625,0.12644185425966492,0.18457179071996135
0,0,-34989.24609375,0.02431913207634771,0.12484688922800281
1,0,-29044.76953125,0.027575788837592312,0.15572522033897218
2,0,-8137.13525390625,0.008686004291753162,0.24133787922912844
0,1,-26512.205078125,0.20001674172691836,0.12311320551387832
1,1,-21074.45703125,0.20344749548240054,0.15352355866594067
2,1,-6540.35400390625,0.17070008634023728,0.18911277694143228
0,2,-41178.38671875,0.1670833030454445,0.11201994168225803
1,2,-31843.25,0.16957139035629532,0.14364744017361727
2,2,-9580.951171875,0.12650117701176125,0.18432762078946746
0,0,-34754.7578125,0.024077816216014285,0.12363798841923299
1,0,-28856.8671875,0.02792203574712241,0.15505398211369098
2,0,-8094.2880859375,0.009076716349460152,0.23949875315418123
0,1,-26127.28515625,0.20205998243666995,0.12378160930118941
1,1,-20786.728515625,0.2066200988663545,0.15454087458735735
2,1,-6424.42138671875,0.17509352349424934,0.19030462603477336
0,2,-40646.23828125,0.16562904808212534,0.11116035818353781
1,2,-31415.703125,0.16906276935102252,0.14449343042033183
2,2,-9494.462890625,0.12424481521762142,0.18108762587817984
0,0,-34514.82421875,0.02484514002049313,0.1248829973900248
